Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,-Infinity,-Infinity,Infinity
B3,1,Infinity,-Infinity,Infinity
A2,2,Infinity,-Infinity,Infinity
A3,2,Infinity,-Infinity,Infinity
A2,2,Infinity,-Infinity,Infinity
A4,2,Infinity,-Infinity,Infinity
A2,2,Infinity,-Infinity,Infinity
A3,2,-Infinity,-Infinity,Infinity
B4,3,Infinity,-Infinity,Infinity
A4,4,-4,-Infinity,Infinity
B4,3,-4,-Infinity,-4
A5,4,-4,-Infinity,-4
B4,3,-4,-Infinity,-4
A3,2,-4,-4,Infinity
B5,3,Infinity,-4,Infinity
A4,4,-4,-4,Infinity
B5,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A4,4,+/-Infinity,-Infinity,-4	OPTIONAL
A4,4,4,-Infinity,-4
A2,4,4,-Infinity,-4
B2,3,4,-Infinity,-4
A4,4,-2,-Infinity,-4
B2,3,-2,-Infinity,-4
A5,2,-2,-Infinity,-4
A2,2,-4,-Infinity,-4
A4,2,-4,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B4,3,Infinity,-Infinity,-4
A2,4,-2,-Infinity,-4
B4,3,-2,-Infinity,-4
A4,4,-2,-Infinity,-4
B4,3,-2,-Infinity,-4
A5,4,-2,-Infinity,-4
B4,3,-2,-Infinity,-4
A3,2,-2,-Infinity,-4
A4,2,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,-1,-Infinity,-4
B2,3,-1,-Infinity,-4
A4,4,-1,-Infinity,-4
B2,3,-1,-Infinity,-4
A5,2,-1,-Infinity,-4
A4,2,-4,-Infinity,-4
A2,2,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A4,4,-2,-Infinity,-4
A2,4,-2,-Infinity,-4
B2,3,-2,-Infinity,-4
A4,4,-1,-Infinity,-4
B2,3,-2,-Infinity,-4
A5,2,-2,-Infinity,-4
A2,2,-4,-Infinity,-4
A3,2,-4,-Infinity,-4
A4,2,Infinity,-Infinity,-4
A2,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A5,4,-1,-Infinity,-4
B2,3,-1,-Infinity,-4
A2,2,-1,-Infinity,-4
A4,2,-1,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B4,3,Infinity,-Infinity,-4
A2,4,-1,-Infinity,-4
B4,3,-1,-Infinity,-4
A4,4,-1,-Infinity,-4
B4,3,-1,-Infinity,-4
A5,4,-1,-Infinity,-4
B4,3,-1,-Infinity,-4
A3,2,-1,-Infinity,-4
A4,2,-1,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,0,-Infinity,-4
B2,3,0,-Infinity,-4
A4,4,0,-Infinity,-4
B2,3,0,-Infinity,-4
A5,2,0,-Infinity,-4
A4,2,-1,-Infinity,-4
A3,2,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,0,-Infinity,-4
B2,3,0,-Infinity,-4
A4,4,0,-Infinity,-4
B2,3,0,-Infinity,-4
A5,2,0,-Infinity,-4
A3,2,-4,-Infinity,-4
A2,2,-4,-Infinity,-4
A4,2,Infinity,-Infinity,-4
A2,2,Infinity,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A5,4,-3,-Infinity,-4
A2,4,-3,-Infinity,-4
B2,3,-3,-Infinity,-4
A5,4,-2,-Infinity,-4
B2,3,-3,-Infinity,-4
A3,2,-3,-Infinity,-4
A2,2,-3,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A4,4,+/-Infinity,-Infinity,-4	OPTIONAL
A4,4,8,-Infinity,-4
A2,4,8,-Infinity,-4
B2,3,8,-Infinity,-4
A4,4,2,-Infinity,-4
B2,3,2,-Infinity,-4
A5,2,2,-Infinity,-4
A2,2,-3,-Infinity,-4
A4,2,-3,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,-1,-Infinity,-4
B2,3,-1,-Infinity,-4
A5,4,-1,-Infinity,-4
B2,3,-1,-Infinity,-4
A3,2,-1,-Infinity,-4
A4,2,-3,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,3,-Infinity,-4
B2,3,3,-Infinity,-4
A4,4,3,-Infinity,-4
B2,3,3,-Infinity,-4
A5,2,3,-Infinity,-4
A4,2,-3,-Infinity,-4
A2,2,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A4,4,2,-Infinity,-4
A2,4,2,-Infinity,-4
B2,3,2,-Infinity,-4
A4,4,3,-Infinity,-4
B2,3,2,-Infinity,-4
A5,2,2,-Infinity,-4
A2,2,-4,-Infinity,-4
B3,1,-4,-Infinity,-4
A3,2,Infinity,-Infinity,-4
A2,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A4,4,Infinity,-Infinity,-4
A2,4,Infinity,-Infinity,-4
A3,4,-2,-Infinity,-4
A2,4,-2,-Infinity,-4
A5,4,-2,-Infinity,-4
A2,4,-2,-Infinity,-4
A4,4,-2,-Infinity,-4
A3,4,0,-Infinity,-4
A4,4,-2,-Infinity,-4
A5,4,-1,-Infinity,-4
A4,4,-2,-Infinity,-4
B2,3,-2,-Infinity,-4
A5,4,0,-Infinity,-4
B2,3,-2,-Infinity,-4
A2,2,-2,-Infinity,-4
A3,2,-2,-Infinity,-4
A4,2,Infinity,-Infinity,-4
A2,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A3,4,-2,-Infinity,-4
B2,3,-2,-Infinity,-4
A5,4,-2,-Infinity,-4
B2,3,-2,-Infinity,-4
A2,2,-2,-Infinity,-4
A4,2,-2,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B4,3,Infinity,-Infinity,-4
A2,4,0,-Infinity,-4
B4,3,0,-Infinity,-4
A4,4,0,-Infinity,-4
B4,3,0,-Infinity,-4
A5,4,0,-Infinity,-4
B4,3,0,-Infinity,-4
A3,2,0,-Infinity,-4
A4,2,-2,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,1,-Infinity,-4
B2,3,1,-Infinity,-4
A4,4,1,-Infinity,-4
B2,3,1,-Infinity,-4
A5,2,1,-Infinity,-4
A4,2,-2,-Infinity,-4
A3,2,-2,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,1,-Infinity,-4
B2,3,1,-Infinity,-4
A4,4,1,-Infinity,-4
B2,3,1,-Infinity,-4
A5,2,1,-Infinity,-4
A3,2,-2,-Infinity,-4
B3,1,-4,-Infinity,-4
A4,2,Infinity,-Infinity,-4
A2,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A5,4,3,-Infinity,-4
B2,3,3,-Infinity,-4
A2,2,3,-Infinity,-4
A4,2,3,-Infinity,-4
A3,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,0,-Infinity,-4
B2,3,0,-Infinity,-4
A5,4,0,-Infinity,-4
